pnum,voicefil,voice,HNDE,HNEX,HNIN,HPEF,HPFO,HPRE,LNEY,LNSP,LNSW,LPAT,LPFO,LPGR,HN,HP,LN,LP,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,ptype,hilo_actual,form_smeanMD,form_svarMD,intense_smeanMD,intense_svarMD,pitch_smeanMD,pitch_svarMD,LPr,LNr,newpster,vsex,feelpower,Zsub_form_smean,Zsub_form_svar,Zsub_form_rmean,Zsub_form_rvar,Zsub_intense_smean,Zsub_intense_svar,Zsub_intense_rmean,Zsub_intense_rvar,Zsub_pitch_smean,Zsub_pitch_svar,Zsub_pitch_rmean,Zsub_pitch_rvar
29,m05_power.wav,5,4,5,3,5,6,5,3,3,2,5,5,5,4,5.33,2.67,5,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3,5.33,4.415,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
32,m05_power.wav,5,5,5,5,4,5,4,3,3,4,5,3,5,5,4.33,3.33,4.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.67,4.67,4.4175,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
33,m05_power.wav,5,4,4,4,6,6,6,1,2,2,6,6,6,4,6,1.67,6,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2,6.33,4.5825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
35,m05_power.wav,5,7,7,7,4,4,5,1,1,1,2,3,1,7,4.33,1,2,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,6,7,6.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
38,m05_power.wav,5,3,3,3,6,4,6,2,2,2,5,6,5,3,5.33,2,5.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.67,6,4.25,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
39,m05_power.wav,5,5,5,1,6,6,6,2,1,3,6,6,6,3.67,6,2,6,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2,6,4.4175,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
40,m05_power.wav,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4,4,4,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
41,m05_power.wav,5,5,5,5,6,6,5,2,4,3,4,6,4,5,5.67,3,4.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.33,5,4.75,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
42,m05_power.wav,5,7,3,4,7,7,7,4,4,3,2,6,3,4.67,7,3.67,3.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4.33,4.33,5.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
45,m05_power.wav,5,4,4,3,6,6,5,2,2,4,5,5,7,3.67,5.67,2.67,5.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.33,5.33,4.25,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
47,m05_power.wav,5,2,3,4,3,1,4,5,4,4,3,4,4,3,2.67,4.33,3.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4.33,3.67,3.4175,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
49,m05_power.wav,5,7,7,7,7,7,7,2,2,1,2,5,7,7,7,1.67,4.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.33,6.33,5.915,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
50,m05_power.wav,5,5,5,3,5,5,5,,3,,4,5,5,4.33,5,3,4.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,3.33,5,4.415,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
51,m05_power.wav,5,7,7,3,7,7,6,1,1,1,6,7,6,5.67,6.67,1,6.33,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,1.67,7,5.2525,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
52,m05_power.wav,5,5,4,5,6,5,5,2,2,2,3,4,4,4.67,5.33,2,3.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4.33,6,5.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
54,m05_power.wav,5,5,5,3,6,7,5,3,3,3,6,5,6,4.33,6,3,5.67,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,2.33,5,4.415,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
55,m05_power.wav,5,6,5,5,6,6,4,3,2,2,3,5,4,5.33,5.33,2.33,4,1071.457828,38245.57579,1255.766713,67846.20803,60.07251424,203.6822446,57.49530895,202.3901527,122.4731636,478.0700701,115.0597531,946.264262,STATUS,hi,-51.79217249,-3119.91421,1.29169084,5.164309466,-33.43120241,-986.7699299,4,5.67,5.0825,M,6,-0.242117,-0.217418,-0.596591,0.113374,0.295125,-0.17897,-0.341802,0.530531,0.509786,-0.593005,0.319999,-0.31852
1,m08_power.wav,8,6,4,6,3,4,4,3,2,1,5,1,5,5.33,3.67,2,3.67,1050.989236,28190.62536,1222.502296,52681.60884,57.258183,206.638798,57.319512,195.699827,104.670871,1119.727445,101.088991,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,4.33,6,4.8325,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
2,m08_power.wav,8,4,3,2,4,4,4,5,4,6,4,4,4,3,4,5,4,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,4,3,3.5,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
3,m08_power.wav,8,5,5,2,5,6,6,1,2,2,5,6,6,4,5.67,1.67,5.67,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,2.33,6.33,4.5825,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
5,m08_power.wav,8,5,6,3,6,5,5,2,3,5,5,6,6,4.67,5.33,3.33,5.67,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,2.33,4.67,4.25,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
6,m08_power.wav,8,5,4,5,6,7,5,2,5,4,4,3,5,4.67,6,3.67,4,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,4,4.33,4.75,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
7,m08_power.wav,8,4,3,5,5,4,4,3,5,5,4,5,4,4,4.33,4.33,4.33,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,3.67,3.67,3.9175,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
9,m08_power.wav,8,4,3,3,3,4,4,3,4,2,4,6,5,3.33,3.67,3,5,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,3,5,3.75,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
10,m08_power.wav,8,2,2,1,1,2,1,6,6,7,2,2,2,1.67,1.33,6.33,2,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,6,1.67,2.6675,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
11,m08_power.wav,8,6,5,6,1,5,7,7,2,1,1,4,4,5.67,4.33,3.33,3,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,5,4.67,4.9175,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
12,m08_power.wav,8,5,3,2,6,7,5,5,6,6,6,5,6,3.33,6,5.67,5.67,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,2.33,2.33,3.4975,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
14,m08_power.wav,8,3,2,1,2,2,5,2,6,7,5,4,7,2,3,5,5.33,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,2.67,3,2.6675,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
15,m08_power.wav,8,7,7,7,1,1,1,7,7,7,1,1,1,7,1,7,1,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,7,1,4,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
16,m08_power.wav,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,3,3,4,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
18,m08_power.wav,8,4,2,2,4,6,4,3,3,4,4,6,6,2.67,4.67,3.33,5.33,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,2.67,4.67,3.67,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
19,m08_power.wav,8,2,3,2,2,5,4,3,4,3,4,6,4,2.33,3.67,3.33,4.67,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,3.33,4.67,3.5,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
23,m08_power.wav,8,6,6,6,6,7,4,1,2,1,3,1,2,6,5.67,1.33,2,1050.989236,28190.62536,1222.502296,52681.60884,57.25818276,206.6387985,57.31951186,195.6998271,104.6708708,1119.727445,101.0889908,2897.69537,BATNA,lo,-72.26076404,-13174.86464,-1.522640638,8.120863367,-51.23349522,-345.1125549,6,6.67,6.085,M,2,-0.488008,-1.086085,-1.413064,-1.122531,-0.321254,-0.130827,-0.376065,0.393241,-0.618936,0.241234,-0.6161,0.860547
