voice,form_smean,form_svar,form_rmean,form_rvar,intense_smean,intense_svar,intense_rmean,intense_rvar,pitch_smean,pitch_svar,pitch_rmean,pitch_rvar,pow,age,sex,race,native,feelpower,plev,vsex,pitch_rmeanMD,pitch_rvarMD,intense_rmeanMD,intense_rvarMD,formant_rmeanMD,formant_rvarMD,pitch_smeanMD,pitch_svarMD,intense_smeanMD,intense_svarMD,formant_smeanMD,formant_svarMD,Zpitch_rmean,Zpitch_rvar,Zform_rmean,Zform_rvar,Zintense_rmean,Zintense_rvar,Zpitch_smean,Zpitch_svar,Zform_smean,Zform_svar,Zintense_smean,Zintense_svar
11,1255.574259,81702.71433,1279.123543,79252.96801,63.38123417,159.1165851,63.43361984,161.5257673,145.6994198,813.4506935,144.3673237,886.7987128,3,19,M,C,Y,2,-1,-1,-5.202676342,-865.6512872,5.973619843,-21.22423274,-13.48645727,15122.36801,-11.38058018,-724.1893065,4.361234168,-31.01341491,126.3042591,38790.59433,2.085411605,-0.418868913,-0.159402376,0.702816442,1.240305068,-0.24086443,1.683427539,-0.283487258,1.72911832,2.475198084,1.078862434,-0.667739499
12,1095.078738,35446.49927,1323.025115,74227.70922,60.5351792,155.8304482,57.54335266,146.4655324,109.995417,1104.433228,93.30792435,201.153131,2,19,M,A,N,3,-1,-1,-56.26207565,-1551.296869,0.083352657,-36.28446764,30.41511508,10097.10922,-47.08458303,-433.2067724,1.515179198,-34.29955184,-34.19126162,-7465.620734,-1.257970279,-0.865141546,0.815849264,0.330047339,-0.243301323,-0.500506926,-0.463935347,0.07228575,-0.091721937,-0.496055237,0.384774693,-0.722121838
13,1061.293233,29429.9856,1328.313962,60790.40288,56.18677481,266.2844503,56.98589341,198.4568917,102.601283,803.9469824,92.35278334,307.6186357,4,21,M,A,Y,5,1,-1,-57.21721666,-1444.831364,-0.474106591,15.70689174,35.70396156,-3340.197115,-54.47871697,-733.6930176,-2.833225189,76.15445034,-67.97676681,-13482.1344,-1.320513145,-0.795845335,0.933338364,-0.666719762,-0.383710931,0.395838079,-0.908644274,-0.295107075,-0.475022403,-0.882524086,-0.675701722,1.105783414
14,1036.789722,31945.55443,1270.421028,76415.65605,56.0695028,138.1893885,58.24224692,117.6950476,101.9846607,1741.023838,100.3884994,1727.823255,4,19,M,C,Y,3,-1,-1,-49.18150064,-24.62674516,0.782246924,-65.05495238,-22.18897161,12285.05605,-55.09533932,203.3838381,-2.950497199,-51.94061149,-92.48027791,-10966.56557,-0.794332506,0.128536696,-0.352724413,0.492347234,-0.067267882,-0.996517813,-0.945730086,0.850620289,-0.753017572,-0.72093732,-0.704301684,-1.014064048
15,1287.529061,55827.3777,1271.633504,49676.96855,58.25326643,170.3409297,61.15741429,198.372749,105.8902722,532.427991,113.0872892,2055.704044,4,21,M,C,Y,3,-1,-1,-36.48271082,303.2540442,3.697414291,15.62274903,-20.97649554,-14453.63145,-51.18972781,-1005.212009,-0.76673357,-19.78907033,158.2590612,12915.2577,0.03718734,0.341947571,-0.325789859,-1.491104162,0.666987594,0.394387436,-0.710833029,-0.627082768,2.091649248,0.813104032,-0.171731661,-0.48198762
16,1091.064207,30156.14056,1247.496961,51532.45762,61.66393378,334.189091,66.3577226,210.8300468,156.9752449,482.0228757,145.4626262,297.3642728,3,20,M,A,Y,5,1,-1,-4.107373771,-1455.085727,8.897722598,28.08004677,-45.11303892,-12598.14238,-0.104755052,-1055.617124,2.643933779,144.059091,-38.20579315,-12755.97944,2.157132283,-0.802519689,-0.861971191,-1.353465678,1.976811138,0.609154596,2.361594872,-0.688711139,-0.137267262,-0.835879752,0.66005213,2.229538523
17,1078.924421,44901.46509,1283.792668,70317.62371,56.96512156,159.6761433,60.29038263,172.4224767,122.3799328,1502.076428,130.4550079,2394.899096,3,20,M,C,Y,1,-1,-1,-19.11499212,642.4490956,2.830382628,-10.32752334,-8.817331672,6187.023708,-34.70006723,-35.56357178,-2.054878442,-30.45385666,-50.34557918,1989.34509,1.174429784,0.562722667,-0.055680069,0.04000077,0.448604679,-0.053002232,0.280912498,0.5584686,-0.274994539,0.111281497,-0.485880745,-0.65847936
18,1054.973231,33779.51793,1217.863298,59508.97491,61.09351938,209.426648,60.14719273,203.1368435,103.6547254,176.4235347,97.76528649,236.0441351,3,20,M,C,Y,1,-1,-1,-51.80471351,-1516.405865,2.687192735,20.38684347,-74.74670202,-4621.625086,-53.42527457,-1361.216465,2.073519385,19.29664799,-74.29676938,-9132.60207,-0.966101123,-0.842431708,-1.520268309,-0.761774917,0.412538838,0.476521705,-0.845286585,-1.062355547,-0.546723564,-0.603133255,0.5209411,0.164842629
19,1030.390047,43528.88266,1255.625718,58857.77832,56.66934889,119.8386065,54.67151714,125.5374446,122.0882977,1955.233485,113.2191499,3742.404904,2,18,M,A,Y,5,1,-1,-36.35085005,1989.954904,-2.788482855,-57.21255539,-36.98428218,-5272.821684,-34.99170235,417.593485,-2.350651114,-70.29139347,-98.87995319,616.7626569,0.045821615,1.439786535,-0.681394894,-0.810080086,-0.966642622,-0.861312782,0.263372548,1.112526078,-0.825622629,0.023114099,-0.558012938,-1.317751467
20,1054.104741,32422.1189,1321.502055,67463.39766,56.24132632,201.5267258,57.35771867,173.2268282,110.1435327,1786.541089,101.6590676,753.9747803,2,20,M,A,Y,3,-1,-1,-47.91093241,-998.4752197,-0.102281332,-9.523171814,28.89205463,3332.797659,-46.93646734,248.9010894,-2.778673676,11.39672582,-75.1652589,-10490.0011,-0.711135389,-0.505321284,0.782015232,-0.17172311,-0.290057737,-0.039134995,-0.455027154,0.906272458,-0.556576678,-0.690325352,-0.662397856,0.034106676
21,1081.898214,32348.07527,1318.590907,59848.70226,63.01339624,191.8062743,60.1569941,186.5328488,110.9032335,441.9190986,103.7287482,482.1076179,4,18,M,A,Y,4,-1,-1,-45.84125177,-1270.342382,2.696994099,3.782848752,25.98090657,-4281.897743,-46.17676645,-1095.720901,3.993396237,1.676274273,-47.37178559,-10564.04473,-0.575612198,-0.682274038,0.717345523,-0.736574254,0.415007549,0.190264374,-0.409336101,-0.737744464,-0.241256507,-0.695081521,0.989155172,-0.12675725
22,1032.466648,47244.57175,1266.947719,90525.48304,62.63110582,199.6507546,61.69368795,163.3774492,144.7570288,996.2698631,146.1472309,3630.12641,1,21,M,C,Y,5,-1,-1,-3.422769115,1877.67641,4.233687947,-19.37255081,-25.66228144,26394.88304,-12.32297118,-541.3701369,3.611105817,9.52075456,-96.80335167,4332.451748,2.201960363,1.366706768,-0.429882267,1.539001302,0.802061097,-0.208940936,1.626748867,-0.059961382,-0.802063344,0.261790211,0.895923278,0.003061194
23,1046.292742,30396.3765,1261.397874,73935.7624,58.33840138,160.0483398,53.54909253,157.3086023,95.04990391,540.2743856,95.16609949,2194.945296,2,17,M,A,Y,5,1,-1,-54.40390051,442.4952963,-3.910907472,-25.4413977,-31.21212568,9805.162398,-62.03009609,-997.3656144,-0.68159862,-30.08166015,-82.97725806,-12515.7435,-1.136296519,0.432576844,-0.553169303,0.30839099,-1.249352436,-0.313569487,-1.362810473,-0.617489287,-0.645204712,-0.820448273,-0.150969193,-0.652319873
24,1075.945776,33239.34355,1302.344732,71826.72254,57.44136328,149.5507228,56.33451087,171.1412861,109.2258555,771.5687078,106.1629597,222.5358486,1,18,M,A,Y,5,-1,-1,-43.40704032,-1529.914151,-1.125489128,-11.60871392,9.734732036,7696.122545,-47.85414448,-766.0712922,-1.578636718,-40.57927721,-53.32422358,-9672.776451,-0.41621944,-0.851223974,0.356444819,0.151944342,-0.547777392,-0.075090302,-0.510219448,-0.33469473,-0.308787605,-0.637831185,-0.369736277,-0.826045125
25,1085.590248,34951.28852,1292.707333,75115.45181,58.68360009,125.6577371,54.78912601,148.6357588,118.8526334,1099.882695,111.2504978,563.3062949,3,20,M,C,Y,4,1,-1,-38.31950223,-1189.143705,-2.670873989,-34.1142412,0.097332564,10984.85181,-38.22736664,-437.7573045,-0.336399909,-64.47226288,-43.67975204,-7960.831483,-0.083086208,-0.629423486,0.142354773,0.395899272,-0.937019982,-0.463091639,0.068768446,0.066721992,-0.199369959,-0.527864943,-0.066783119,-1.221450571
26,1291.177201,62295.71682,1291.465851,60030.75587,58.14088789,219.8168937,58.83202723,173.0508639,111.6397,2601.035376,105.7594054,2466.132286,2,21,M,A,N,3,-1,-1,-43.81059465,713.6822859,1.372027226,-9.699136142,-1.144149209,-4099.844132,-45.44029996,1063.395376,-0.879112105,29.68689374,161.9072014,19383.59682,-0.442644275,0.609086888,0.114775871,-0.723069683,0.081282565,-0.042168668,-0.365042445,1.902122891,2.13303782,1.228595746,-0.199138217,0.336790991
27,1050.179752,27801.71667,1246.234428,66109.22767,63.69994387,178.2661469,60.87584053,171.7372026,111.2684753,997.9218802,111.0965922,1335.054863,3,19,M,C,Y,5,-1,-1,-38.47340783,-417.3951373,3.415840528,-11.01279741,-46.3755718,1978.627666,-45.81152471,-539.7181198,4.679943868,-11.86385311,-79.09024771,-15110.40333,-0.093163984,-0.127108187,-0.890017732,-0.272174202,0.596066425,-0.064816541,-0.387369193,-0.057941525,-0.60110613,-0.987115425,1.156588443,-0.350833059
28,1069.888827,29839.65025,1315.413748,76706.33328,55.46955214,160.0132227,57.63558019,144.6286206,128.2441075,1156.174556,132.7583476,2285.448554,3,20,M,A,Y,4,-1,-1,-16.81165242,532.9985539,0.175580189,-38.12137943,22.80374839,12575.73328,-28.83589252,-381.4654441,-3.550447857,-30.11677726,-59.38117265,-13072.46975,1.325253028,0.491483556,0.646766531,0.513909405,-0.220071586,-0.532175778,0.633604357,0.135547856,-0.377504393,-0.856209407,-0.850615934,-0.652901027
29,1073.568099,31646.13734,1295.411122,60327.17552,48.23097572,185.034465,52.51201669,195.0275272,94.93356657,44.42057466,88.95736631,30.89788498,3,21,M,B,Y,2,-1,-1,-60.61263369,-1721.552115,-4.947983314,12.27752716,2.801122495,-3803.424483,-62.14643343,-1493.219425,-10.78902428,-5.095534988,-55.70190061,-11265.98266,-1.542845878,-0.975957191,0.202418124,-0.701081544,-1.510565093,0.336714913,-1.369807405,-1.223750423,-0.335762626,-0.740170281,-2.615939235,-0.238824042
30,1295.996767,70744.15685,1309.734634,66342.14466,58.81960325,151.0683444,56.10626808,173.7460986,99.08163915,159.8004896,95.88634742,334.8738149,3,22,M,B,Y,5,1,-1,-53.68365258,-1417.576185,-1.353731918,-9.003901405,17.1246337,2211.544664,-57.99836085,-1377.83951,-0.200396751,-39.06165558,166.7267671,27832.03685,-1.08913451,-0.778105498,0.520607817,-0.254896632,-0.605265864,-0.030182634,-1.120327896,-1.082679896,2.187716351,1.771278615,-0.033615059,-0.800929977
31,1064.253761,28880.22671,1324.734013,65281.8041,53.82041621,135.0922547,53.44157239,92.07815905,112.4858013,311.4037349,108.6040619,368.5277618,4,22,M,H,Y,5,1,-1,-40.96593811,-1383.922238,-4.018427615,-90.67184095,32.1240128,1151.204104,-44.59419871,-1226.236265,-5.199583785,-55.03774529,-65.01623949,-14031.89329,-0.256375473,-0.756200835,0.853811579,-0.333551725,-1.276433986,-1.438159855,-0.314154974,-0.897320515,-0.441434878,-0.917837675,-1.252802484,-1.065318571
32,1035.67978,38461.51377,1255.931872,78179.52398,65.83152776,207.794811,63.19438768,144.6605224,106.5956735,287.4873491,91.32426964,123.9798861,4,21,M,K,Y,5,1,-1,-58.24573036,-1628.470114,5.734387683,-38.08947763,-36.67812811,14048.92398,-50.48432654,-1250.152651,6.811527764,17.66481103,-93.59022024,-4450.606234,-1.387860472,-0.915372027,-0.674593834,0.623189345,1.180048657,-0.531625783,-0.668407744,-0.926562148,-0.765609997,-0.302386736,1.676433022,0.13783733
33,1090.12061,42146.18278,1258.668709,82055.96716,52.45929356,129.9141493,60.57835768,101.204804,144.2204066,1361.723037,140.7407679,716.998173,4,18,M,C,Y,7,-1,-1,-8.82923214,-1035.451827,3.118357679,-81.54519597,-33.94129099,17925.36716,-12.85959341,-175.9169634,-6.560706439,-60.21585073,-39.14939002,-765.9372248,1.847943849,-0.529388598,-0.613796355,0.910740356,0.521138168,-1.280814043,1.594474541,0.386863976,-0.147972477,-0.065703189,-1.584749181,-1.15101113
34,1238.547302,78927.28482,1278.310179,69201.33009,60.17041937,226.2475179,60.38165979,222.8674505,124.4109903,1985.051004,119.8789277,981.4069649,4,19,M,A,Y,6,1,-1,-29.6910723,-771.0430351,2.921659786,40.11745054,-14.29982143,5070.730094,-32.66900967,447.4110037,1.150419373,36.11751789,109.2773022,36015.16482,0.481905482,-0.357290344,-0.177470858,-0.04280487,0.471595041,0.816682672,0.403067363,1.148982797,1.535945523,2.296919248,0.295818111,0.443211505
35,1044.369073,40690.75718,1149.600656,76930.38977,59.97319302,160.8516721,61.85967112,99.88037152,98.77334703,2842.530853,106.795859,7345.493176,2,21,M,C,Y,5,-1,-1,-42.774141,5593.043176,4.399671116,-82.86962848,-143.009344,12799.78977,-58.30665297,1304.890853,0.953193018,-29.27832794,-84.90092684,-2221.36282,-0.374777039,3.784962723,-3.03668902,0.530529711,0.843867977,-1.303647615,-1.138869656,2.197390002,-0.667028957,-0.159191992,0.247719112,-0.639025514
36,1263.591361,74271.95155,1276.876501,73397.39964,60.88833829,175.3209945,62.19378349,109.5559747,117.5812507,256.0625449,113.2207092,981.096482,1,21,M,C,Y,3,-1,-1,-36.3492908,-771.353518,4.733783493,-73.19402528,-15.73349878,9266.799644,-39.49874926,-1281.577455,1.868338291,-14.80900554,134.3213614,31359.83155,0.045923715,-0.35749243,-0.209319288,0.268455733,0.928022267,-1.136837616,-0.007696925,-0.964984032,1.820073273,1.99788539,0.470902122,-0.399572439
37,1070.33825,36792.17831,1223.391818,66977.39735,65.63450682,272.9354146,70.23297674,136.8179041,104.1732413,284.2894914,110.0092673,2857.667214,3,19,M,C,Y,4,1,-1,-39.5607327,1105.217214,12.77297674,-45.93209594,-69.2181824,2846.797349,-52.90675872,-1253.350509,6.61450682,82.80541465,-58.93175048,-6119.941691,-0.164362281,0.863928935,-1.397454989,-0.207774168,2.952887713,-0.66683463,-0.814101239,-0.930472044,-0.372405646,-0.40961597,1.628384118,1.215850341
38,1102.095226,36510.01369,1321.416124,66418.81757,53.70702469,135.1389771,53.63207513,95.35885742,113.6230335,1072.724209,107.1266982,2022.045453,1,20,M,A,N,2,-1,-1,-42.44330175,269.5954528,-3.827924874,-87.39114258,28.80612434,2288.217567,-43.45696654,-464.9157906,-5.312975308,-54.99102289,-27.17477449,-6402.106309,-0.353113604,0.320039885,0.780106333,-0.249209106,-1.228451259,-1.381599733,-0.245757877,0.033516369,-0.012119078,-0.427740725,-1.280456084,-1.064545361
39,1031.471381,38211.936,1187.114044,79518.47227,58.77464678,152.8055887,58.49876429,128.7448887,109.3665328,263.2634491,100.0686359,224.8552953,1,18,M,C,Y,5,1,-1,-49.50136405,-1527.594705,1.038764292,-54.00511131,-105.4959558,15387.87227,-47.71346715,-1274.376551,-0.245353218,-37.32441131,-97.79861854,-4700.184001,-0.81527724,-0.849714294,-2.203347719,0.722511305,-0.002657773,-0.806015584,-0.501758625,-0.956179767,-0.813354762,-0.318418285,-0.044578913,-0.772180291
40,1050.312999,27867.64804,1300.849131,78568.33502,62.97138213,218.1497593,64.93386508,120.5478865,117.8043103,590.8982226,113.7459367,880.7899654,1,20,M,C,Y,6,1,-1,-35.82406328,-871.6600346,7.473865076,-62.20211352,8.239131033,14437.73502,-39.27568969,-946.7417774,3.951382133,28.01975927,-78.95700058,-15044.47196,0.080315741,-0.422779883,0.323220785,0.652030992,1.61817815,-0.947334104,0.005718652,-0.555593494,-0.599594426,-0.982880345,0.978908892,0.309201553
41,1020.890983,41254.10826,1244.353045,65937.19619,59.93261659,187.6064237,57.2238863,214.2911427,120.3518912,1490.850795,118.6655009,4443.774335,3,21,M,C,Y,2,-1,-1,-30.90449914,2691.324335,-0.236113697,31.5411427,-48.25695496,1806.596185,-36.72810882,-46.78920457,0.912616587,-2.52357628,-108.3790167,-1658.011744,0.402449998,1.896293499,-0.931811725,-0.28493534,-0.323766658,0.66882482,0.158939025,0.544743456,-0.933390604,-0.123005314,0.237823448,-0.196260652
42,1072.175698,28420.07548,1331.899578,64654.82133,51.65292726,140.5027088,52.78251152,150.393912,103.2943537,384.0743171,104.7592464,583.9578244,4,22,M,A,Y,5,1,-1,-44.81075356,-1168.492176,-4.677488483,-32.35608803,39.28957832,524.2213304,-53.78564632,-1153.565683,-7.367072741,-49.62729125,-57.09430156,-14492.04452,-0.508134924,-0.61598183,1.01299106,-0.380060734,-1.442434422,-0.432780606,-0.866960595,-0.808469025,-0.351559576,-0.947395343,-1.781403486,-0.97578087
43,1166.765722,64756.45382,1237.25662,65845.97884,60.82590631,282.4414676,55.04939192,320.0952165,111.3924374,393.1498413,105.5327617,1144.055359,2,20,M,C,Y,5,1,-1,-44.03723826,-608.3946408,-2.410608084,137.3452165,-55.35338003,1715.378841,-45.68756261,-1144.490159,1.805906306,92.31146758,37.49572241,21844.33382,-0.457484954,-0.251425843,-1.089455286,-0.291701759,-0.871465713,2.492915481,-0.379913681,-0.797372735,0.721575193,1.386660408,0.455676388,1.37316618
44,1034.933767,43534.3534,1340.603821,129382.5294,60.19141213,193.745291,59.28609671,130.8542149,100.227714,376.2498864,93.63448606,82.62188395,2,22,M,H,Y,2,-1,-1,-55.93551394,-1669.828116,1.826096707,-51.89578511,47.99382104,65251.92943,-56.85228595,-1161.390114,1.171412127,3.615291043,-94.33623279,622.2333955,-1.236586939,-0.942291102,1.206351492,4.421381482,0.195650957,-0.769650233,-1.051398966,-0.818035652,-0.774073595,0.023465511,0.300937764,-0.094668427
45,1074.618462,41723.31699,1348.867669,66861.50701,51.56621003,95.4794619,53.9251123,82.37359577,96.64986755,2740.86705,90.13324543,69.93724939,3,21,M,A,N,3,-1,-1,-59.43675457,-1682.512751,-3.534887705,-100.3764042,56.25766924,2730.90701,-60.43013245,1203.22705,-7.453789973,-94.6505381,-54.65153825,-1188.803009,-1.465849027,-0.95054727,1.389928779,-0.216370808,-1.154642754,-1.605469133,-1.266583096,2.073089631,-0.323846143,-0.092865839,-1.802551837,-1.720871385
46,1379.923754,107176.3737,1377.166476,99974.12446,58.45000224,189.0648668,55.61902111,180.6540391,131.6985017,1628.640645,116.6043165,4959.815325,1,21,M,A,Y,5,1,-1,-32.96568348,3207.365325,-1.840978888,-2.09596091,84.5564755,35843.52446,-25.38149828,91.00064468,-0.569997763,-1.065133172,250.6537544,64264.25367,0.267483145,2.232173986,2.018572714,2.239892885,-0.72799081,0.088912116,0.841363639,0.713213736,3.139877734,4.111490521,-0.123752296,-0.172124851
47,1019.280173,36476.42946,1295.292197,56859.8835,62.88386424,284.9701839,65.63589916,163.599381,115.7091968,785.1371002,102.6901303,188.9432308,3,21,M,B,Y,5,1,-1,-46.8798697,-1563.506769,8.175899163,-19.15061905,2.682197159,-7270.716503,-41.37080318,-752.5028998,3.863864244,94.84018388,-109.9898268,-6435.69054,-0.643621152,-0.87308872,0.199776257,-0.958282097,1.795002431,-0.205114772,-0.120288758,-0.318105185,-0.951665431,-0.429897998,0.95756528,1.415013951
48,1035.861994,49821.26515,1326.934814,87876.88869,48.03797615,134.9211516,53.06468445,151.4500592,131.8231041,1270.546625,126.582383,1066.354301,3,20,M,A,Y,2,-1,-1,-22.98761704,-686.0956989,-4.395315551,-31.29994082,34.3248144,23746.28869,-25.25689592,-267.093375,-10.98202385,-55.20884838,-93.40800633,6909.145146,0.920849362,-0.301999866,0.902701294,1.342530994,-1.371362337,-0.414572344,0.848857658,0.27538613,-0.763542759,0.427303295,-2.663007417,-1.068150159
50,1043.646488,36321.93965,1305.891558,59498.63407,54.45717855,123.381529,52.12079475,126.0357383,89.70881494,737.227567,87.16052176,216.355962,4,18,M,A,Y,2,-1,-1,-62.40947824,-1536.094038,-5.339205247,-56.71426166,13.28155846,-4631.965927,-67.37118506,-800.412433,-4.562821449,-66.74847096,-85.62351156,-6590.180352,-1.660503696,-0.855246336,0.435235807,-0.762541991,-1.609103808,-0.852722064,-1.684042136,-0.376682305,-0.675226765,-0.439821602,-1.097510708,-1.259119579
51,1040.562111,32777.63574,1270.116322,62374.46035,64.33068919,297.7268398,57.45512251,284.4478363,174.8990275,1710.43963,133.3262872,1005.533835,2,18,M,A,Y,7,1,-1,-16.2437128,-746.9161645,-0.004877488,101.6978363,-22.49367848,-1756.139652,17.81902751,172.7996295,5.310689195,107.5968398,-88.70788889,-10134.48426,1.362441853,-0.341586659,-0.359493325,-0.549215827,-0.265524221,1.878345069,3.439593482,0.813226168,-0.710219382,-0.66748884,1.310412808,1.626124078
52,1086.064903,37949.56569,1296.72977,57757.27292,60.37531232,282.6652758,62.23230525,145.7163482,100.901287,518.7544425,93.00600189,84.50976326,1,19,M,C,Y,3,-1,-1,-56.56399811,-1667.940237,4.772305247,-37.03365182,4.119769854,-6373.327081,-56.17871297,-1018.885557,1.355312322,92.53527577,-43.20509741,-4962.554306,-1.277740235,-0.94106232,0.231711221,-0.89171457,0.937724904,-0.513423062,-1.010887945,-0.643800883,-0.193984947,-0.335271558,0.345786817,1.376869986
53,1075.72259,30140.77048,1247.239583,61655.52393,59.96545945,251.283483,63.31102531,155.712559,132.359591,272.6203385,131.3547941,643.6308851,2,21,M,A,Y,5,1,-1,-18.21520585,-1108.819115,5.851025308,-27.03744105,-45.37041711,-2475.076075,-24.72040904,-1265.019662,0.94545945,61.153483,-53.54740953,-12771.34952,1.233348008,-0.57714186,-0.86768872,-0.602545874,1.209426666,-0.341085703,0.881123844,-0.944739463,-0.311319675,-0.836867045,0.245833072,0.857532138
54,1267.848316,67238.61089,1254.238152,63640.82151,60.19780214,288.426184,62.9463703,178.3112787,129.2346219,543.5552085,120.2864431,181.0162738,2,19,M,C,N,6,-1,-1,-29.28355693,-1571.433726,5.486370301,-4.438721279,-38.37184757,-489.7784874,-27.84537807,-994.0847915,1.177802137,98.29618395,138.5783159,24326.49089,0.508589687,-0.878248213,-0.712218971,-0.455278314,1.117579475,0.048522298,0.69317734,-0.613477952,1.868368914,1.546100981,0.302496142,1.472207358
